account_id,video_id,video_title,channel_name,video_duration,date_of_publication,number_of_views,number_of_likes,video_category,number_of_dislikes,number_of_comments
account3,-vE9G_wmLzU,Magnus plays the London System | Carlsen vs Wang Hao | World Rapid 2019,ChessBase India,PT45M25S,2020-02-03T06:33:24Z,1354717,7387,17,,410
account3,jnr6LwM5nTw,ЧЕРЕЗ БОЛЬ! Самый Эпичный Онлайн Матч в Истории Шахмат | Карлсен - Накамура,ChessMaster,PT44M57S,2020-09-08T15:58:11Z,363958,9230,17,,409
account3,-S6Fd0v4tYo,ИДЕАЛЬНАЯ АТАКА Каспарова против чемпиона США Фабиано Каруана! Шахматы,ChessMaster,PT14M8S,2017-08-03T10:55:19Z,6555574,104545,17,,3646
account3,XAIO6_levFs,Magnus vs. Dubov FULL GRUDGE MATCH stream,Offerspill Chess Club,PT2H9M54S,2021-04-22T21:56:38Z,55290,539,20,,61
account3,xJR8oL7UtQY,Как мнимые числа спасли математику [Veritasium],Vert Dider,PT22M30S,2021-11-07T15:36:59Z,385872,25944,28,,1249
account3,TxdDNWNQQnc,Magnus Carlsen vs. Hikaru Nakamura Round 5 GAME 1 | Meltwater Champions Chess Tour Finals,Chess Video,PT49M41S,2021-11-03T06:47:13Z,102290,878,20,,118
account3,nqAOSdIkoNk,Magnus Carlsen Queen Sacrifice against Anish Giri | Meltwater CCT Finals (2021),Spect,PT15M15S,2021-10-01T20:51:55Z,795547,12055,22,,690
account3,wrgYIhwSJzI,"Три Чемпиона Мира против Карякина, Непомнящего и Дубова. Шахматы",ChessMaster,PT20M31S,2018-05-28T09:49:40Z,1537365,32632,17,,1335
account3,khtYWpld1PA,Nakamura vs Praggnanandhaa | The game that helped Vishy Anand reach the tiebreak playoffs,ChessBase India,PT22M55S,2018-11-16T03:24:42Z,2732946,21631,17,,1180
account3,xa6ig7v9Rv8,Карлсен Решил Поставить Детский Мат 16 Летнему Мастеру! Наказали за понты | Блиц Шахматы,ChessMaster,PT11M8S,2019-05-23T16:22:56Z,4226054,68761,17,,3749
account3,SIdqnxPsN0U,Дубов РАЗНОСИТ Карлсена ЖЕРТВОЙ ФЕРЗЯ! Конец эпохи чемпиона?,ChessMaster,PT27M38S,2020-12-31T18:30:13Z,1277370,22376,17,,1374
account3,Zjks4ufZy_Q,"Встретился с Карлсеном на Кубке Мира! Скандалы, Сенсации и Курьезы на стадии 1/64",ChessMaster,PT27M27S,2021-07-19T13:14:10Z,124528,5785,17,,331
account3,kE_sMAYG2wk,Карякин - Дуда. 1/8 Чемпионата По Блиц Шахматам 2018 На сhess.com | GM Фаррух Амонатов,ChessMaster,PT3H49M,2018-09-06T21:41:10Z,42946,773,17,,21
account3,wrgYIhwSJzI,"Три Чемпиона Мира против Карякина, Непомнящего и Дубова. Шахматы",ChessMaster,PT20M31S,2018-05-28T09:49:40Z,1537365,32632,17,,1335
account3,jnr6LwM5nTw,ЧЕРЕЗ БОЛЬ! Самый Эпичный Онлайн Матч в Истории Шахмат | Карлсен - Накамура,ChessMaster,PT44M57S,2020-09-08T15:58:11Z,363958,9230,17,,409
account3,HZDX0AhBueQ,Шахматы. ЛЕГЕНДАРНАЯ ПАРТИЯ Ботвинник - Фишер!,Шахматы Для Всех,PT38M53S,2020-02-15T11:54:40Z,435572,7656,20,,693
account3,KA_pXOHxAa8,"Карлсен ЗЕВАЕТ Дубову ферзя, ладью и МАТ! Но...",ChessMaster,PT35M50S,2021-02-14T12:09:25Z,540959,10777,17,,522
account3,as92ieBnaXg,Ранние дебютные атаки,Шахматная школа онлайн обучения,PT1H16M43S,2013-09-10T10:52:12Z,467027,3580,27,,146
account3,R5zQNmv7vNU,AlphaZero - Революция В Шахматах! Google Меняет Мир,ChessMaster,PT30M18S,2017-12-24T15:32:50Z,1225939,26671,17,,2480
account3,XSkbStgsUIU,"Самая лучшая партия в истории шахмат! Каспаров - Топалов, 1999 год",ChessMaster,PT13M42S,2016-05-05T18:27:53Z,2015031,28019,17,,1356
account3,KZPbehBU1sU,Каспаров НА ЭМОЦИЯХ против Карлсена!,ChessMaster,PT13M46S,2017-07-25T15:00:01Z,3403738,36742,17,,1388
account3,EkWIGzbqSSI,Ноутбуки из хлама или почему я не люблю восстанавливать дорогие ноутбуки?,notebook-31,PT59M19S,2021-04-30T17:00:13Z,1648992,84323,28,,4286
account3,S3X0UCRAkAA,"Шахматы.6 Ловушек, в которые ВСЕ попадаются. Ферзевый гамбит.",Обучение шахматам. Школа шахмат d4-d5,PT15M4S,2017-02-14T15:37:18Z,2188740,33757,27,,1346
account3,lkkPgeo079E,ТРИЛЛЕР! Что случилось с Магнусом? Драматичный Полуфинал Карлсен - Непомнящий,ChessMaster,PT30M12S,2021-03-21T06:36:50Z,273336,7447,17,,424
account3,E_2Vy9B8hic,Почему в России пытают / вДудь,вДудь,PT2H20M13S,2021-12-07T14:03:07Z,9002222,551723,22,,55925
account3,O4DRXLVIaxI,Шахматы в фильме Револьвер. Джейсон Стейтем учит шахматам!,ChessMaster,PT16M26S,2017-10-20T17:39:22Z,237082,8873,17,,380
account3,R4Sfjra32nc,Карлсен на НЕРВАХ! Борьба и Горе в 1/16 Кубка Мира. Есипенко идет за Магнусом.,ChessMaster,PT38M56S,2021-07-26T10:47:35Z,88213,3901,17,,236
account3,r26YNZ2GByc,Карлсен - Грищук ⚡️ SСС 2017 блиц 1/2 🎤 Сергей Шипов ♕ Шахматы,Crestbook Шахматы,PT3H54M57S,2017-11-21T23:08:42Z,223190,1863,17,,197
account3,gpb4MEOoRlI,Шахматы. Гарри Каспаров - Сборная Мира. ТИТАНИЧЕСКАЯ БИТВА на стыке тысячелетий!,Шахматы Для Всех,PT38M29S,2017-07-07T21:53:26Z,72596,1726,24,,85
account3,jnr6LwM5nTw,ЧЕРЕЗ БОЛЬ! Самый Эпичный Онлайн Матч в Истории Шахмат | Карлсен - Накамура,ChessMaster,PT44M57S,2020-09-08T15:58:11Z,363958,9230,17,,409
account3,wnye0xe1xxw,"Савватеев учится играть в шахматы: простые позиции, эндшпиль, этюд Рети",Математик МГУ,PT38M36S,2021-02-14T08:08:53Z,303981,18468,27,,1691
account3,R5zQNmv7vNU,AlphaZero - Революция В Шахматах! Google Меняет Мир,ChessMaster,PT30M18S,2017-12-24T15:32:50Z,1225939,26671,17,,2480
account3,cvkikB_cmCY,Кубок Мира 2021. С. Зайцев (Россия) - Н. Володин (Россия). 2 раунд. Свободная пирамида,Федерация Бильярдного спорта России,PT1H48M13S,2021-04-12T20:56:26Z,63280,946,17,,74
account3,SIdqnxPsN0U,Дубов РАЗНОСИТ Карлсена ЖЕРТВОЙ ФЕРЗЯ! Конец эпохи чемпиона?,ChessMaster,PT27M38S,2020-12-31T18:30:13Z,1277370,22376,17,,1374
account3,JYVZJrqCLfI,Пушной — математика и музыка на флексе!,Маткульт-привет! :: Алексей Савватеев и Ко,PT1H18M4S,2020-10-10T07:00:02Z,299869,18117,27,,1793
account3,T1vN6r4EuiQ,РЭНДЗЮ с Дмитрием Епифановым (часть 1),Маткульт-привет! :: Алексей Савватеев и Ко,PT44M32S,2021-01-28T12:22:47Z,56847,2196,27,,327
account3,wrgYIhwSJzI,"Три Чемпиона Мира против Карякина, Непомнящего и Дубова. Шахматы",ChessMaster,PT20M31S,2018-05-28T09:49:40Z,1537365,32632,17,,1335
account3,V3U1nrWKAMU,"Сунын: ЕГЭ по-корейски. Школьный экзамен, который кокнул российских математиков",Математик МГУ,PT2H54M41S,2021-02-21T10:30:54Z,388469,13683,27,,1804
account3,IFpqK_x44_c,"ДВИ МГУ 2020: Дно пробито, или как мехмату вернуть былую славу?",Математик МГУ,PT52M28S,2021-04-01T11:33:50Z,312113,7313,27,,590
account3,6WetHl8VN1I,"Форт Боярд Математиков: Побединский, Wild Mathing, Савватеев, Трушин, Гарвард Оксфорд, Математик МГУ",Флесс,PT1H,2020-01-24T18:00:11Z,731448,30533,27,,2987
account3,qhx8QCDZ-cU,"Слава Комиссаренко «Опрятный, свежий и чистый» ENG SUB",Слава Комиссаренко,PT59M11S,2021-11-23T09:00:20Z,6238202,374776,22,,16450
account3,2wArqXQDBkA,Основы шахматной игры. Часть 1 - Основы дебюта,Шахматный пионер,PT23M56S,2012-05-20T15:33:49Z,1791038,37883,27,,1093
account3,hEerhyybTXs,Гаокао: ЕГЭ по-китайски. Самый сложный экзамен в мире?,Математик МГУ,PT1H33M36S,2020-03-15T07:00:37Z,605591,14771,27,,1147
account3,hHgeoW4xRF0,Самая известная ловушка в дебюте за черных: разгром в 7 ходов. Шахматы - Математик МГУ,Математик МГУ,PT16M10S,2021-03-24T10:00:09Z,71468,4012,27,,603
account3,no2pIJjwsFg,Могла ли Существовать Бет Хармон? Ход королевы - сериал изменивший мир шахмат,ChessMaster,PT33M55S,2021-11-18T15:00:34Z,106073,5948,17,,482
account3,7_Sf82bW7DU,Го!,Маткульт-привет! :: Алексей Савватеев и Ко,PT44M48S,2021-03-19T10:06:23Z,51632,2296,27,,265
account3,M777eZqfuEg,Задача про лестницу с котом (feat. Дмитрий Епифанов),Маткульт-привет! :: Алексей Савватеев и Ко,PT33M3S,2021-01-24T16:40:13Z,41856,1548,27,,341
account3,6WetHl8VN1I,"Форт Боярд Математиков: Побединский, Wild Mathing, Савватеев, Трушин, Гарвард Оксфорд, Математик МГУ",Флесс,PT1H,2020-01-24T18:00:11Z,731448,30533,27,,2987
account3,wnye0xe1xxw,"Савватеев учится играть в шахматы: простые позиции, эндшпиль, этюд Рети",Математик МГУ,PT38M36S,2021-02-14T08:08:53Z,303981,18468,27,,1691
account3,nFuCrmF1I-U,Математика и фокусы!!! Одиозный Дед дает задачи Савватееву!,Маткульт-привет! :: Алексей Савватеев и Ко,PT59M7S,2020-12-21T09:46:49Z,379955,11505,27,,921
account3,HJ3XupAU15c,Математика и Теория игр вокруг нас (Рига),Маткульт-привет! :: Алексей Савватеев и Ко,PT1H45M39S,2019-10-27T11:56:37Z,24277,692,1,,37
account3,mqn9n_qpeCQ,South Ural Cup. Finals. 7p match. Timur Azizov (white) - Alexey Barchenkov (brown).,Timur Azizov,PT47M45S,2021-09-12T08:54:54Z,1010,24,22,,2
account3,5ops5enzY2g,"КИБЕРДЕД — цифровая гигиена, блокчейн и молитва",Маткульт-привет! :: Алексей Савватеев и Ко,PT1H21M9S,2021-10-17T08:49:46Z,48128,2581,27,,533
account3,AbAPzs3P2Yo,Разбор выборов с Сергеем Шпилькиным,Маткульт-привет! :: Алексей Савватеев и Ко,PT1H53M33S,2021-10-12T08:45:56Z,113668,7885,27,,2087
account3,HTP4wA1W_a4,"Лекции по игре Сёги от А.В. Калёнова Союза игроков японских шахмат ""Сёги"", часть 1",J FEST,PT39M38S,2020-11-25T21:00:10Z,7070,426,24,,28
account3,EkWIGzbqSSI,Ноутбуки из хлама или почему я не люблю восстанавливать дорогие ноутбуки?,notebook-31,PT59M19S,2021-04-30T17:00:13Z,1648992,84323,28,,4286
account3,Vz2Rl2bijaU,В математике всё говорит о Боге. Встреча с доктором физико-математических наук Алексеем Савватеевым,Сретенский монастырь,PT1H12M26S,2021-09-06T08:59:32Z,12077,560,29,,90
account3,hb9CTGSJm88,Что такое операционная система и как она работает,Computer Science Center,PT2H1M8S,2017-12-12T14:50:49Z,473438,13962,27,,441
account3,5wksbCwGe5w,"Артемий Лебедев и Алексей Савватеев: большая беседа о жизни, математике и дизайне",Маткульт-привет! :: Алексей Савватеев и Ко,PT1H35M12S,2020-01-14T16:23:34Z,761951,24458,27,,2167
account3,AbAPzs3P2Yo,Разбор выборов с Сергеем Шпилькиным,Маткульт-привет! :: Алексей Савватеев и Ко,PT1H53M33S,2021-10-12T08:45:56Z,113668,7885,27,,2087
account3,uyS4rj9mvKE,Путь в преподавание Тимофея Хирьянова / Окончить МФТИ и не сойти с ума,АйТиБорода,PT3H14M51S,2021-08-22T10:21:26Z,255505,14300,28,,1689
account3,vPSLUoVVVbM,"Павел Пиковский в гостях у Савватеева — музыка, политика и алкоголь",Маткульт-привет! :: Алексей Савватеев и Ко,PT1H48M12S,2021-10-14T07:49:59Z,6145,344,27,,39
account3,JYVZJrqCLfI,Пушной — математика и музыка на флексе!,Маткульт-привет! :: Алексей Савватеев и Ко,PT1H18M4S,2020-10-10T07:00:02Z,299869,18117,27,,1793
account3,_P2N5W-c9rQ,"Константин Воронцов — о математике, ИИ, фейковых новостях и демократии",Маткульт-привет! :: Алексей Савватеев и Ко,PT1H44M39S,2021-07-15T11:44:55Z,32479,1642,27,,613
account3,kdJmW_cDPMg,Разговор об образовании с Александром Шевкиным,Маткульт-привет! :: Алексей Савватеев и Ко,PT1H35M20S,2021-10-08T19:05:12Z,16721,749,27,,202
account3,8I0L1i-TmaE,Разбор unity3d тестовых заданий от подписчиков ч3,Максим Крюков - разработка на unity,PT2H9M55S,2021-12-09T07:55:52Z,3511,166,27,,29
account3,qeeC7i5HTpU,Суворов. Солдатский герой/Борис Кипнис и Егор Яковлев,Цифровая история,PT2H1M2S,2021-11-02T11:00:32Z,74062,4951,22,,481
account3,BJSITWkSDQg,Основы функционирования компьютерных сетей,Industrial Software Engineering Online,PT1H57M4S,2015-03-30T10:46:12Z,217746,5368,27,,122
account3,DBOTcG6iJEI,007.  За гранью Intel и Linux – необычные процессоры и операционные системы – Дмитрий Завалишин,Академия Яндекса,PT2H15M17S,2019-09-25T12:22:58Z,21341,625,28,,68
account3,rJRLZfk3a8U,Контейнерная виртуализация в Linux,Computer Science Center,PT1H49M47S,2015-04-20T17:03:07Z,24797,683,27,,23
account3,-knefdASOz8,"Как работает компьютер? Шины адреса, управления и данных. Дешифрация. Взгляд изнутри!",Major Tom Workshop,PT32M1S,2021-06-05T16:12:35Z,840998,42753,28,,1722
account3,uyS4rj9mvKE,Путь в преподавание Тимофея Хирьянова / Окончить МФТИ и не сойти с ума,АйТиБорода,PT3H14M51S,2021-08-22T10:21:26Z,255505,14300,28,,1689
account3,eqsg3Blzmdg,Разработчик-«ВЕТЕРАН» / 50 ЛЕТ ОПЫТА в программировании / История Евгения Владимировича Полищука,АйТиБорода,PT3H11M36S,2020-12-24T07:00:06Z,609995,27098,28,,2706
account3,H2RRiF24L4A,Как работают крылья. Общее заблуждение о подъемной силе.,AlexKolmak,PT57M3S,2018-10-20T21:26:35Z,429723,7387,27,,1740
account3,ivVMaXaf3f8,Гайд 1(инструкция) по ремонту видеокарт,VIK-on,PT1H28M48S,2021-02-05T12:12:47Z,303831,10672,28,,860
account3,IN6Zb75OnqU,Запросы в 1С за 3 часа,IRONSKILLS - Курсы по 1С,PT3H48M21S,2020-10-30T19:30:48Z,244940,2174,27,,202
account3,AH9uowkPPFA,Азы программирования в 1С за 3 часа,IRONSKILLS - Курсы по 1С,PT3H46M49S,2020-08-19T19:13:21Z,468509,5491,27,,375
account3,9rxfJKztSN4,"Дмитрий Казаков: ""Физика элементарных частиц в преддверии смены парадигм""",Центр Архэ,PT2H3M49S,2021-11-16T17:00:10Z,90511,3223,27,,392
account3,eqsg3Blzmdg,Разработчик-«ВЕТЕРАН» / 50 ЛЕТ ОПЫТА в программировании / История Евгения Владимировича Полищука,АйТиБорода,PT3H11M36S,2020-12-24T07:00:06Z,609995,27098,28,,2706
account3,QQZmDWnV618,ЯЗЫК ЯЗЫКОВ! / Всё про C++ и разработку игр / Интервью с Lead Core Developer World of Tanks Blitz,АйТиБорода,PT3H11M23S,2020-05-20T15:30:11Z,819521,31518,28,,2872
account3,SQvZf11Zm2Y,Как устроены ПРОЦЕССОРЫ / Удаленный доступ через Intel vPro / Интервью с инженером Intel,АйТиБорода,PT2H28M31S,2021-08-31T09:09:43Z,58110,2414,28,,386
account3,htm12lYKDUs,DevOps ЗДОРОВОГО ЧЕЛОВЕКА / Все пути ведут в КУБЕРНЕТЕС / Интервью с Дмитрием Столяровым,АйТиБорода,PT2H57M40S,2020-11-05T10:56:49Z,132462,4443,28,,509
account3,VRtNxyeA6hc,Ретроградная Венера. Декабрь 2021 - январь - март 2022. Анализ аспекта.,Станислава Бояркина,PT1H3M16S,2021-12-10T15:05:23Z,68343,5407,27,,421
account3,ddmAwvymOIs,ПРОДАКТ В IT / Customer development и БОЛЬШИЕ ДЕНЬГИ / Product Management с Виталием Григорашем,АйТиБорода,PT2H15M19S,2021-08-27T09:01:50Z,56799,1845,28,,163
account3,vkFcmHfIpto,Алгоритмы рекомендации МУЗЫКИ / Яндекс.Музыка под капотом / Интервью с Даней Бурлаковым,АйТиБорода,PT2H29M11S,2021-11-25T07:00:08Z,40115,1720,28,,293
account3,VFBXx7O9BxU,"Олимпиадки, асинхронность и удалённая работа / Всё о Python / Интервью с Python Developer",АйТиБорода,PT2H13M51S,2019-10-24T16:25:30Z,721007,20480,22,,1682
account3,95IuNNttLPc,КОМПЬЮТЕРНАЯ КРИМИНАЛИСТИКА / Киберпреступления и форензика / Крутой безопасник Алексей Новиков,АйТиБорода,PT1H43M43S,2021-07-09T06:31:19Z,83987,3323,28,,259
account3,wWd73WDBxzs,JS-фреймворки на ХАЙПЕ! / Angular vs React / Интервью с Димычем IT-KAMASUTRA,АйТиБорода,PT1H57M52S,2020-10-23T07:50:01Z,241714,9950,28,,1769
account3,KdZ4HF1SrFs,Алгоритмы на Python 3. Лекция №1,Тимофей Хирьянов,PT1H20M50S,2017-10-09T08:21:10Z,3099898,88865,27,,4603
account3,uyS4rj9mvKE,Путь в преподавание Тимофея Хирьянова / Окончить МФТИ и не сойти с ума,АйТиБорода,PT3H14M51S,2021-08-22T10:21:26Z,255505,14300,28,,1689
account3,SQvZf11Zm2Y,Как устроены ПРОЦЕССОРЫ / Удаленный доступ через Intel vPro / Интервью с инженером Intel,АйТиБорода,PT2H28M31S,2021-08-31T09:09:43Z,58110,2414,28,,386
account3,RkcyaL-eNnA,Как создать NFT токен и что такое СМАРТКОНТРАКТ / Блокчейн и Эфир / Арсений raz0r Реутов,АйТиБорода,PT1H46M45S,2021-06-30T18:39:02Z,49797,1667,28,,210
account3,aMwuhjUmVAA,"Айти - это пузырь? Лекс АйТиБорода про зарплаты айтишников, перегретый рынок и новый кризис доткомов",айТИПАдкаст,PT1H8S,2021-08-17T10:28:41Z,8458,454,28,,106
account3,E2HVwNve6cI,"Мастер-класс Ольги Сориной ""Правда и мифы о призвании"".",Лекторий Александрийская библиотека,PT1H59M45S,2017-06-27T12:00:42Z,1833,36,27,,1
account3,95IuNNttLPc,КОМПЬЮТЕРНАЯ КРИМИНАЛИСТИКА / Киберпреступления и форензика / Крутой безопасник Алексей Новиков,АйТиБорода,PT1H43M43S,2021-07-09T06:31:19Z,83987,3323,28,,259
account3,yGOHC_cMpx4,Сетевые и системные инженеры / Что скрывают ЦОДы / Выпуск из дата-центра Selectel,АйТиБорода,PT1H39M,2021-03-31T09:38:04Z,53660,2188,28,,275
account3,uUStFTUVOpA,Из ЛИНГВИСТА в ПРОЕКТНЫЕ МЕНЕДЖЕРЫ / Ещё раз про Project Management,АйТиБорода,PT2H6M55S,2021-03-09T13:42:39Z,101966,3539,28,,527
account3,htm12lYKDUs,DevOps ЗДОРОВОГО ЧЕЛОВЕКА / Все пути ведут в КУБЕРНЕТЕС / Интервью с Дмитрием Столяровым,АйТиБорода,PT2H57M40S,2020-11-05T10:56:49Z,132462,4443,28,,509
account3,VRtNxyeA6hc,Ретроградная Венера. Декабрь 2021 - январь - март 2022. Анализ аспекта.,Станислава Бояркина,PT1H3M16S,2021-12-10T15:05:23Z,68343,5407,27,,421
account3,LhEVDvmm8SE,БАТЯ на проекте! / Сертифицированный архитектор и Azure MVP / Интервью с Solution Architect,АйТиБорода,PT2H25M27S,2020-10-08T22:10:41Z,84062,2655,28,,309
account3,QQZmDWnV618,ЯЗЫК ЯЗЫКОВ! / Всё про C++ и разработку игр / Интервью с Lead Core Developer World of Tanks Blitz,АйТиБорода,PT3H11M23S,2020-05-20T15:30:11Z,819521,31518,28,,2872
account3,eqsg3Blzmdg,Разработчик-«ВЕТЕРАН» / 50 ЛЕТ ОПЫТА в программировании / История Евгения Владимировича Полищука,АйТиБорода,PT3H11M36S,2020-12-24T07:00:06Z,609995,27098,28,,2706
account3,nrr4IwOVhZk,"Docker, непрерывная интеграция и плоская земля  / Интервью с DevOps Engineer",АйТиБорода,PT1H45M12S,2019-04-08T12:38:21Z,122860,3929,22,,375
account3,pfyguvafIS8,КИБЕРБЕЗОПАСНОСТЬ и DevSecOps / Хакеры НЕ ПРОЙДУТ! / Product Director Positive Technologies,АйТиБорода,PT1H54M28S,2021-04-21T13:00:32Z,37506,1559,28,,216
account3,VFBXx7O9BxU,"Олимпиадки, асинхронность и удалённая работа / Всё о Python / Интервью с Python Developer",АйТиБорода,PT2H13M51S,2019-10-24T16:25:30Z,721007,20480,22,,1682
account3,vkFcmHfIpto,Алгоритмы рекомендации МУЗЫКИ / Яндекс.Музыка под капотом / Интервью с Даней Бурлаковым,АйТиБорода,PT2H29M11S,2021-11-25T07:00:08Z,40115,1720,28,,293
account3,V8rwPMlAKV0,Контейнеризация понятным языком / Интервью с System Engineers из Слёрм,АйТиБорода,PT2H1M48S,2020-09-30T19:27:31Z,59794,1976,28,,190
account3,SQvZf11Zm2Y,Как устроены ПРОЦЕССОРЫ / Удаленный доступ через Intel vPro / Интервью с инженером Intel,АйТиБорода,PT2H28M31S,2021-08-31T09:09:43Z,58110,2414,28,,386
account3,wWd73WDBxzs,JS-фреймворки на ХАЙПЕ! / Angular vs React / Интервью с Димычем IT-KAMASUTRA,АйТиБорода,PT1H57M52S,2020-10-23T07:50:01Z,241714,9950,28,,1769
account3,3y8gX6P6inM,"Бобук vs АйТиБорода / Стартапы vs Продукт vs Аутсорс, зарплаты в IT / Гостевой выпуск Parimatch Tech",АйТиБорода,PT3H14M20S,2021-12-11T11:46:29Z,29751,1552,28,,218
account3,HVrYnPW5pi0,Как программируют графику в играх / Интервью с Graphics Engineer из Wargaming,АйТиБорода,PT3H5M38S,2020-07-15T17:01:31Z,112984,4261,28,,448
account3,V8rwPMlAKV0,Контейнеризация понятным языком / Интервью с System Engineers из Слёрм,АйТиБорода,PT2H1M48S,2020-09-30T19:27:31Z,59794,1976,28,,190
account3,W93wk-Fy2lk,Всё про Game Automation QA \ Автоматизация тестирования и танки\ QA Automation TechLead из Wargaming,АйТиБорода,PT1H42M37S,2019-08-31T15:32:04Z,65491,2941,27,,372
account3,pfyguvafIS8,КИБЕРБЕЗОПАСНОСТЬ и DevSecOps / Хакеры НЕ ПРОЙДУТ! / Product Director Positive Technologies,АйТиБорода,PT1H54M28S,2021-04-21T13:00:32Z,37506,1559,28,,216
account3,htm12lYKDUs,DevOps ЗДОРОВОГО ЧЕЛОВЕКА / Все пути ведут в КУБЕРНЕТЕС / Интервью с Дмитрием Столяровым,АйТиБорода,PT2H57M40S,2020-11-05T10:56:49Z,132462,4443,28,,509
account3,95IuNNttLPc,КОМПЬЮТЕРНАЯ КРИМИНАЛИСТИКА / Киберпреступления и форензика / Крутой безопасник Алексей Новиков,АйТиБорода,PT1H43M43S,2021-07-09T06:31:19Z,83987,3323,28,,259
account3,QQZmDWnV618,ЯЗЫК ЯЗЫКОВ! / Всё про C++ и разработку игр / Интервью с Lead Core Developer World of Tanks Blitz,АйТиБорода,PT3H11M23S,2020-05-20T15:30:11Z,819521,31518,28,,2872
account3,LhEVDvmm8SE,БАТЯ на проекте! / Сертифицированный архитектор и Azure MVP / Интервью с Solution Architect,АйТиБорода,PT2H25M27S,2020-10-08T22:10:41Z,84062,2655,28,,309
account3,VFBXx7O9BxU,"Олимпиадки, асинхронность и удалённая работа / Всё о Python / Интервью с Python Developer",АйТиБорода,PT2H13M51S,2019-10-24T16:25:30Z,721007,20480,22,,1682
account3,4BnkXhwGjD4,Онлайн собеседование IT Project Manager (Моторина Алёна),Roman Zhulpo,PT1H32M5S,2021-10-31T12:13:07Z,3074,165,22,,21
account3,ddmAwvymOIs,ПРОДАКТ В IT / Customer development и БОЛЬШИЕ ДЕНЬГИ / Product Management с Виталием Григорашем,АйТиБорода,PT2H15M19S,2021-08-27T09:01:50Z,56799,1845,28,,163
account3,UcJ2Sqsi0F4,"Микропроцессоры и ""умные"" вещи / Встроенные системы, IoT и язык С / Интервью с Design Engineer",АйТиБорода,PT2H9M34S,2020-12-04T14:03:45Z,74402,3245,28,,634
account3,Q7kCUNC23vw,ЧЕЛОВЕЧНЫЙ ФРОНТЕНД / Доступность и современность интерфейсов / Вадим Макеев,АйТиБорода,PT2H1M40S,2021-10-18T05:53:46Z,51068,2316,28,,215
account3,uyS4rj9mvKE,Путь в преподавание Тимофея Хирьянова / Окончить МФТИ и не сойти с ума,АйТиБорода,PT3H14M51S,2021-08-22T10:21:26Z,255505,14300,28,,1689
account3,SQvZf11Zm2Y,Как устроены ПРОЦЕССОРЫ / Удаленный доступ через Intel vPro / Интервью с инженером Intel,АйТиБорода,PT2H28M31S,2021-08-31T09:09:43Z,58110,2414,28,,386
account3,RkcyaL-eNnA,Как создать NFT токен и что такое СМАРТКОНТРАКТ / Блокчейн и Эфир / Арсений raz0r Реутов,АйТиБорода,PT1H46M45S,2021-06-30T18:39:02Z,49797,1667,28,,210
account3,aMwuhjUmVAA,"Айти - это пузырь? Лекс АйТиБорода про зарплаты айтишников, перегретый рынок и новый кризис доткомов",айТИПАдкаст,PT1H8S,2021-08-17T10:28:41Z,8458,454,28,,106
account3,E2HVwNve6cI,"Мастер-класс Ольги Сориной ""Правда и мифы о призвании"".",Лекторий Александрийская библиотека,PT1H59M45S,2017-06-27T12:00:42Z,1833,36,27,,1
account3,95IuNNttLPc,КОМПЬЮТЕРНАЯ КРИМИНАЛИСТИКА / Киберпреступления и форензика / Крутой безопасник Алексей Новиков,АйТиБорода,PT1H43M43S,2021-07-09T06:31:19Z,83987,3323,28,,259
account3,yGOHC_cMpx4,Сетевые и системные инженеры / Что скрывают ЦОДы / Выпуск из дата-центра Selectel,АйТиБорода,PT1H39M,2021-03-31T09:38:04Z,53660,2188,28,,275
account3,uUStFTUVOpA,Из ЛИНГВИСТА в ПРОЕКТНЫЕ МЕНЕДЖЕРЫ / Ещё раз про Project Management,АйТиБорода,PT2H6M55S,2021-03-09T13:42:39Z,101966,3539,28,,527
account3,htm12lYKDUs,DevOps ЗДОРОВОГО ЧЕЛОВЕКА / Все пути ведут в КУБЕРНЕТЕС / Интервью с Дмитрием Столяровым,АйТиБорода,PT2H57M40S,2020-11-05T10:56:49Z,132462,4443,28,,509
account3,VRtNxyeA6hc,Ретроградная Венера. Декабрь 2021 - январь - март 2022. Анализ аспекта.,Станислава Бояркина,PT1H3M16S,2021-12-10T15:05:23Z,68343,5407,27,,421
account3,LhEVDvmm8SE,БАТЯ на проекте! / Сертифицированный архитектор и Azure MVP / Интервью с Solution Architect,АйТиБорода,PT2H25M27S,2020-10-08T22:10:41Z,84062,2655,28,,309
account3,htm12lYKDUs,DevOps ЗДОРОВОГО ЧЕЛОВЕКА / Все пути ведут в КУБЕРНЕТЕС / Интервью с Дмитрием Столяровым,АйТиБорода,PT2H57M40S,2020-11-05T10:56:49Z,132462,4443,28,,509
account3,QQZmDWnV618,ЯЗЫК ЯЗЫКОВ! / Всё про C++ и разработку игр / Интервью с Lead Core Developer World of Tanks Blitz,АйТиБорода,PT3H11M23S,2020-05-20T15:30:11Z,819521,31518,28,,2872
account3,3y8gX6P6inM,"Бобук vs АйТиБорода / Стартапы vs Продукт vs Аутсорс, зарплаты в IT / Гостевой выпуск Parimatch Tech",АйТиБорода,PT3H14M20S,2021-12-11T11:46:29Z,29751,1552,28,,218
account3,V8rwPMlAKV0,Контейнеризация понятным языком / Интервью с System Engineers из Слёрм,АйТиБорода,PT2H1M48S,2020-09-30T19:27:31Z,59794,1976,28,,190
